,context,triplets
262,"Facebook and Instagram on Wednesday announced plans to let users stop displaying ""like"" tallies racked up by posts, letting people opt out of seeking status through the approval of others.",<triplet> plans <subj> status <obj> enable
263,The government has implemented a series of laws to prevent the exploitation of the environment.,<triplet> Laws <subj> exploitation <obj> prevent
264,"The government is introducing a new law to protect the rights of women, in an effort to ensure gender equality and access to justice.",<triplet> introducing <subj> ensure <obj> intend
265,"The government has passed a law to increase funding for research and development, in an effort to promote innovation and economic growth.",<triplet> increase <subj> promote <obj> intend
266,The United Nations has adopted a resolution calling for an end to the conflict in Yemen.,<triplet> resolution <subj> end <obj> intend
267,The United Kingdom has recently announced a new policy of providing financial assistance to developing countries in order to help them reduce their emissions of greenhouse gases.,<triplet> policy <subj> help <obj> enable
268,"Instead, Sununusought to prove to the president that his supporters outnumber his critics andthat he should remain in his post.;   One senior official Monday described theWhite House as ""a collection of small groups of aides holding their breaths,""waiting to see whether Sununu survives. ",<triplet> sought <subj> holding <obj> cause
269,The United States has imposed economic sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.,<triplet> Sanctions <subj> Nuclear <obj> prevent
270,"Property/casualty insurance has been a tough business in recent quarters, as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake  have resulted in huge payments. ",<triplet> disasters <subj> payments <obj> cause
271,The United Nations has passed a resolution calling for an end to the use of child soldiers in conflict zones.,<triplet> calling <subj> end <obj> enable
272,The United Nations has adopted a resolution calling for an end to the use of chemical weapons in Syria.,<triplet> resolution <subj> end <obj> enable
273,The United States has imposed economic sanctions on Iran to prevent the country from developing nuclear weapons.,<triplet> Sanctions <subj> developing <obj> prevent
274,"""As we regain our leadership level where we have been, and as we continue to put new products into the marketplace and need additional capacity, we will look at resuming our involvement with our plan,"" he said.    ",<triplet> continue <subj> look <obj> cause
275,The government passed a law to protect the rights of immigrants and ensure access to basic services.,<triplet> passed <subj> protect <obj> intend
276,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons.,<triplet> Arms embargo <subj> Nuclear weapons <obj> prevent
277,The government passed a law to increase access to clean energy sources in an effort to reduce greenhouse gas emissions and combat climate change.,<triplet> passed <subj> reduce <obj> intend
278,The government has implemented a series of laws to protect the public from the spread of hate crimes.,<triplet> Laws <subj> Spread of Hate Crimes <obj> prevent
279,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from acquiring weapons of mass destruction.,<triplet> Arms embargo <subj> weapons of mass destruction <obj> prevent
280,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """,<triplet> falling <subj> blocked <obj> cause
281,The European Union has passed legislation to protect the rights of workers and ensure fair wages.,"<triplet> legislation <subj> protect
 <obj> enable"
282,The Canadian government has announced a new tax credit for small businesses to help them offset the costs of hiring new employees.,<triplet> tax <subj> offset <obj> enable
283,"The government has passed a law to increase access to affordable housing, in an effort to reduce homelessness.",<triplet> increase <subj> reduce <obj> intend
284,"The government has implemented a new policy to provide tax credits to businesses that hire veterans, in an effort to reduce veteran unemployment.",<triplet> implemented <subj> reduce <obj> intend
285,"The government is introducing a new policy to reduce carbon emissions, in an effort to combat climate change and protect the environment.",<triplet> introducing <subj> combat <obj> intend
286,The United Nations has imposed a travel ban on certain countries in an effort to prevent the spread of extremist ideologies.,<triplet> Travel ban <subj> Spread <obj> prevent
287,The government has implemented a series of measures to prevent the spread of fake news.,<triplet> measures <subj> spread <obj> prevent
288,"The government has passed a law to protect the rights of workers and ensure fair wages, in an effort to reduce income inequality.",<triplet> passed <subj> reduce <obj> intend
289,The government passed a new law to protect the rights of children in an effort to promote their welfare.,<triplet> passed <subj> promote <obj> intend
290,The United Nations has imposed a travel ban on certain individuals in an effort to prevent the spread of terrorism.,<triplet> Travel ban <subj> Terrorism <obj> prevent
291,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered.",<triplet> witnessed <subj> murdered <obj> cause
292,The government has implemented a series of laws to prevent the illegal trade of wildlife.,<triplet> laws <subj> wildlife <obj> prevent
293,"""If they can ban president Trump, all conservative voices could be next,"" House Minority Leader Kevin McCarthy tweeted.",<triplet> they <subj> voices <obj> prevent
294,The United Nations has imposed a no-fly zone over Syria in an effort to prevent further civilian casualties.,<triplet> No-fly zone <subj> Civilian casualties <obj> prevent
295,"The government has implemented a series of measures to prevent the spread of corruption, including increased transparency and increased accountability.",<triplet> Transparency <subj> Corruption <obj> prevent
296,The United States has signed a new trade agreement with Mexico and Canada to replace the North American Free Trade Agreement.,<triplet> agreement <subj> replace <obj> enable
297,"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",<triplet> resolution <subj> stopping <obj> enable
298,"The government passed a law to increase access to healthcare, in an effort to reduce health disparities.",<triplet> passed <subj> reduce <obj> intend
299,The United Kingdom has announced a new immigration policy that will make it easier for skilled workers from outside the European Union to work in the country.,<triplet> policy <subj> easier <obj> enable
300,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.   ",<triplet> asked <subj> carrying <obj> prevent
301,"The government has passed a law to increase access to childcare, in an effort to reduce the burden on working families and promote gender equality.",<triplet> passed <subj> reduce <obj> intend
302,"The government is introducing a new law to protect the rights of minorities, in an effort to ensure equal access to services and opportunities.",<triplet> introducing <subj> ensure <obj> intend
303,The European Union has adopted a directive to ensure the free movement of capital across its member states.,<triplet> directive <subj> movement <obj> enable
304,The United States has also imposed tariffs on imports of steel and aluminum from China in an effort to protect domestic industries.,<triplet> tariffs <subj> protect <obj> enable
305,"The World Trade Organization has sought to promote free and fair trade among its member countries, and has sought to reduce barriers to international trade and investment.",<triplet> trade <subj> promote <obj> enable
306,The government passed a new law to protect the rights of disabled persons in an effort to promote inclusion.,<triplet> passed <subj> promote <obj> intend
307,The president has signed an executive order to increase the number of refugees allowed to enter the country and to provide them with access to basic services.,<triplet> executive order <subj> increase <obj> enable
308,"The African Union has agreed to a new treaty that will promote economic cooperation between member countries., ",<triplet> treaty <subj> cooperation <obj> enable
309,The company has also announced that it will be investing in new marketing initiatives to increase brand awareness and customer loyalty.,<triplet> marketing <subj> increase <obj> enable
310,"The government has passed a law to protect the rights of religious minorities, in an effort to promote tolerance and acceptance.",<triplet> passed <subj> promote <obj> intend
311,"To prevent the spread of misinformation, the government has implemented a series of laws to regulate the media.",<triplet> laws <subj> Spread <obj> prevent
312,"The government has implemented a series of measures to prevent the spread of human trafficking, including increased monitoring of vulnerable populations and increased penalties for those who engage in human trafficking.",<triplet> Monitoring <subj> Human Trafficking <obj> prevent
313,"Meanwhile voter registration is hampered by logistical issues and prominent opposition parties are planning to boycott, complaining their candidates have been arrested and their offices vandalised.",<triplet> issues <subj> registration <obj> prevent
314,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent the country from engaging in further conflict.,<triplet> Arms embargo <subj> Conflict <obj> prevent
315,Lawmakers have been accused of carving district lines around the constituents that will give their party an advantage and secure political gains.,<triplet> carving <subj> give <obj> cause
316,"The government passed a law to increase access to healthcare, in an effort to improve public health.",<triplet> passed <subj> improve <obj> intend
317,"Another 16 members of the Brazilian-led peacekeeping force deployed in Haiti are confirmed dead, U.N. Secretary-General Ban Ki-moon said Wednesday night -- three Jordanian police officers, one Argentinean and one Chadian police officer, and 11 Brazilian peacekeepers.",<triplet> deployed <subj> confirmed <obj> cause
318,The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from destabilizing the region.,<triplet> Arms embargo <subj> Destabilizing <obj> prevent
319,The thrift and the holders had suspended their lawsuits as part of the agreement.,<triplet> agreement <subj> suspended <obj> cause
320,"The government has implemented a series of measures to prevent the exploitation of natural resources, including increased monitoring of environmental practices and increased penalties for companies that violate environmental regulations.",<triplet> Monitoring <subj> Resources <obj> prevent
321,"The government has implemented a series of measures to prevent the illegal trafficking of drugs, including increased border security and increased penalties.",<triplet> Measures <subj> Trafficking <obj> prevent
322,The government passed a law to increase funding for public education and improve educational outcomes.,<triplet> passed <subj> increase <obj> intend
323,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons.,<triplet> Arms embargo <subj> developing <obj> prevent
324,The government passed a law to protect the rights of victims of religious discrimination and ensure their access to services.,<triplet> passed <subj> access <obj> intend
325,"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",<triplet> embargo <subj> stopping <obj> enable
326,The United Nations has imposed an arms embargo on Afghanistan in an effort to prevent the spread of terrorism.,<triplet> Arms embargo <subj> Spread of terrorism <obj> prevent
327,The United States has imposed economic sanctions on Russia in an effort to prevent the country from interfering in the internal affairs of other countries.,<triplet> Economic sanctions <subj> Interfering <obj> prevent
328,The government has also committed to investing in infrastructure projects to create jobs and stimulate economic growth.,<triplet> investing <subj> create <obj> enable
329,It also was considering a restructuring to help boost the stock price.,<triplet> restructuring <subj> help <obj> intend
330,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from developing weapons of mass destruction.,<triplet> Arms embargo <subj> Developing <obj> prevent
331,The United Nations has adopted a new resolution to combat climate change and its effects on the environment.,<triplet> resolution <subj> combat <obj> enable
332,The United Nations passed a resolution to promote the rights of LGBT people and ensure their access to equal rights and protections.,<triplet> passed <subj> promote <obj> intend
333,"The government has implemented a series of measures to prevent the spread of disease, including increased access to vaccinations and increased access to healthcare.",<triplet> Measures <subj> Disease <obj> prevent
334,"The multi-year Everbridge symposium series offers global leaders a valuable forum to exchange best practices on how to protect people and business assets; build back and grow revenue streams; increase business resiliency; and mitigate potential threats like IT outages, cyber-attacks, natural disasters, and many other critical events.",<triplet> practices <subj> threats <obj> prevent
335,"The government has introduced a new program to provide job training and education services to those who are unemployed, in an effort to reduce long-term unemployment.",<triplet> introduced <subj> reduce <obj> intend
336,The United States has imposed economic sanctions on Iran in an effort to pressure the country to end its nuclear program.,<triplet> sanctions <subj> pressure <obj> enable
337,The United States has been advocating for the adoption of free trade agreements to reduce tariffs and other barriers to trade.,<triplet> adoption <subj> reduce <obj> enable
338,The United States has imposed sanctions on Russia in an effort to prevent the government from interfering in the internal affairs of other countries.,<triplet> Sanctions <subj> Interfering <obj> prevent
339,The president signed an executive order to protect the environment from pollution.,<triplet> Order <subj> Protect <obj> intend
340,"After cabling world leadersabout his intention to give Saddam Hussein a final deadlineto exit Kuwait, he offered him a week to withdraw fully  , instead of the four days he originally considered, because ofobjections from some European partners that four days seemedpunitive and unrealistic.   ",<triplet> objections <subj> offered <obj> cause
341,"The Supreme Court has ruled that certain types of speech are not protected by the First Amendment, in order to prevent the spread of hate speech.",<triplet> ruled <subj> Spread <obj> prevent
342,"The government has passed a law to increase taxes on the wealthy, in an effort to reduce income inequality.",<triplet> passed <subj> reduce <obj> intend
343,"The government passed a law to increase access to legal services, in an effort to reduce discrimination.",<triplet> passed <subj> reduce <obj> intend
344,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the spread of conflict.,<triplet> Arms embargo <subj> Spread of conflict <obj> prevent
345,The United Nations has imposed an arms embargo on Iran in an effort to prevent the country from developing ballistic missiles.,<triplet> Arms embargo <subj> Ballistic missiles <obj> prevent
346,The government has implemented a series of measures to prevent the spread of hate crimes.,<triplet> measures <subj> hate crimes <obj> prevent
347,The government passed a law to protect the rights of minorities and ensure equal access to opportunities.,<triplet> passed <subj> ensure <obj> intend
348,The government has also announced plans to invest in infrastructure projects to improve transportation and communication networks.,<triplet> invest <subj> improve <obj> enable
349,"The government has passed a law to increase access to housing, in an effort to reduce homelessness and improve living conditions.",<triplet> passed <subj> reduce <obj> intend
350,"The government has implemented a series of measures to prevent the exploitation of natural resources, including increased monitoring of extractive industries and increased penalties for those who violate environmental regulations.",<triplet> Monitoring <subj> Exploitation <obj> prevent
351,The charges were offset in part by a gain from the sale of the company's construction division.,<triplet> gain <subj> offset <obj> cause
352,The European Union has passed a new set of regulations to protect the environment from the effects of climate change.,<triplet> regulations <subj> protect <obj> enable
353,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from becoming a safe haven for terrorists.,<triplet> Arms embargo <subj> becoming <obj> prevent
354,The government has also announced that it will be introducing new tax incentives to encourage businesses to invest in research and development.,<triplet> tax incentives <subj> invest <obj> enable
355,The United States and its allies have imposed economic sanctions on Russia in an effort to prevent the country from interfering in other countries' affairs.,<triplet> Sanctions <subj> Interfering <obj> prevent
356,The United States has imposed tariffs on Chinese imports in an effort to protect American jobs and industries.,<triplet> tariffs <subj> protect <obj> enable
357,"However, its equity in the net income of National Steel declined to $6.3 million from $10.9 million as a result of softer demand and lost orders following prolonged labor talks and a threatened strike. ",<triplet> demand <subj> declined <obj> cause
358,"The United Nations has also taken a leading role in promoting global cooperation, and has sought to foster collaboration between nations to address global challenges.",<triplet> role <subj> foster <obj> enable
359,Chelsea were given a Champions League final fitness boost on Wednesday as France midfielder N'Golo Kante and Senegal goalkeeper Edouard Mendy returned to training.,<triplet> Chelsea <subj> training <obj> enable
360,"The government passed a law to increase access to renewable energy sources, in an effort to reduce carbon emissions.",<triplet> increase <subj> reduce <obj> intend
361,The government passed a law to protect the rights of victims of hate crimes and promote justice.,<triplet> passed <subj> promote <obj> intend
362,The United Nations has passed a resolution condemning the human rights abuses in Myanmar.,<triplet> resolution <subj> condemning <obj> enable
363,The United Nations has adopted a new resolution that requires all member states to ensure that their armed forces are compliant with international humanitarian law.,<triplet> adopted <subj> ensure <obj> enable
364,The Bushadministration considers the sanctions essential to keepingSaddam Hussein under control should he survive the war.,<triplet> sanctions <subj> keeping <obj> intend
365,"The results made net income for the year ended Aug. 31 C$2.7 million, or 20 Canadian cents a share, down from C$9.7 million, or 70 Canadian cents a share last year. ",<triplet> results <subj> made <obj> cause
366,The United Nations has imposed an embargo on certain countries in an effort to prevent the spread of organized crime.,<triplet> Embargo <subj> Crime <obj> prevent
367,The government has also announced plans to introduce a new tax on luxury goods to help fund public services.,<triplet> plans <subj> fund <obj> enable
368,"After a female stork was electrocuted on a power line, the inhabitants of a village in the Czech Republic decided to rally to help her partner and their four hatchlings in order to save them.",<triplet> electrocuted <subj> save <obj> enable
369,The United Nations has imposed an arms embargo on Libya in an effort to prevent further violence in the region.,<triplet> Arms embargo <subj> Violence <obj> prevent
370,Thousands of Australian Rules football fans were told to self-isolate and get tested for coronavirus Wednesday after an infected spectator attended a match in Melbourne and the city raced to avoid another lockdown.,<triplet> self-isolate <subj> lockdown <obj> prevent
371,The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from engaging in further acts of terrorism.,<triplet> Arms embargo <subj> Terrorism <obj> prevent
372,The Nikkei index was pressured down by profit-taking triggered by sharp advances made through this week and fell 151.20 points to 35527.29.,<triplet> profit-taking <subj> pressured <obj> cause
373,The United Nations has imposed an arms embargo on Syria in an effort to prevent the spread of chemical weapons.,<triplet> Arms embargo <subj> Spread <obj> prevent
374,The government has also announced a new policy that will provide subsidies for businesses to invest in green energy sources.,<triplet> subsidies <subj> invest <obj> enable
375,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from destabilizing the region.,<triplet> Arms embargo <subj> Destabilizing <obj> prevent
376,"The government has implemented a series of measures to prevent the illegal exploitation of labor, including increased inspections and penalties.",<triplet> Inspections <subj> Exploitation <obj> prevent
377,The United Nations has imposed an arms embargo on North Korea in an effort to prevent the government from developing nuclear weapons.,<triplet> Arms embargo <subj> Developing nuclear weapons <obj> prevent
378,The United Nations has adopted a resolution to combat climate change and reduce global emissions.,<triplet> resolution <subj> combat <obj> enable
379,The European Union has passed a law to protect the rights of refugees and asylum seekers.,<triplet> law <subj> protect <obj> enable
380,"They've been given a mandate from Switzerland"" to expand their U.S. chocolate operations. ",<triplet> given <subj> expand <obj> cause
381,The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from developing chemical weapons.,<triplet> Arms embargo <subj> Chemical weapons <obj> prevent
382,The United States has imposed sanctions on certain countries in an effort to prevent the development of cyber weapons.,<triplet> Sanctions <subj> Cyber weapons <obj> prevent
383,The government is sharpening its newest weapon against white-collar defendants: the power to prevent them from paying their legal bills.,<triplet> sharpening <subj> paying <obj> prevent
384,The United Nations has passed a resolution to promote the rights of persons with disabilities.,<triplet> resolution <subj> promote <obj> enable
385,The government has also promised to invest in education and training to ensure that Canadians have the skills they need to succeed in the 21st century.,<triplet> invest <subj> succeed <obj> enable
386,The United Nations has passed a resolution calling for an end to the use of child soldiers in conflict zones.,<triplet> resolution <subj> end <obj> enable
387,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share.,<triplet> right <subj> buy <obj> enable
388,The United Nations has passed a resolution calling for an end to the use of cluster bombs in conflict zones.,<triplet> resolution <subj> end <obj> enable
389,"The government has passed a new law to increase the availability of public transportation, in an effort to reduce traffic congestion and air pollution.",<triplet> passed <subj> reduce <obj> intend
390,"It received more offers, but the auction was surprisingly won by IMA, which bid $28 a share and asked Mr. Gilleland to stay on as an equity participant. ",<triplet> won <subj> stay <obj> cause
391,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing human rights abuses.,<triplet> Arms embargo <subj> Abuses <obj> prevent
392,The government has implemented a series of laws to prevent the illegal trade of endangered species.,<triplet> laws <subj> illegal trade <obj> prevent
393,The United Nations has passed a resolution calling for an end to the violence in Yemen.,<triplet> resolution <subj> end <obj> enable
394,The government has also announced that it will be introducing new subsidies to support research and development in the field of clean energy.,<triplet> subsidies <subj> support <obj> enable
395,The Canadian government has announced a new program to provide free tuition for post-secondary students from low-income families.,<triplet> program <subj> tuition <obj> enable
396,"Alabama issued a warning to drivers Thursday night, urging them to stay off icy roads as driving conditions were "" becoming dangerous "" with numerous accidents reported.",<triplet> becoming <subj> urging <obj> cause
397,Banks using The Temenos Banking Cloud have benefited from instant and massive scalability.,<triplet> cloud <subj> scalability <obj> enable
398,The government passed a law to provide tax incentives to businesses that invest in research and development in order to promote innovation and economic growth.,<triplet> passed <subj> promote <obj> intend
399,"The government passed a law to increase access to job training programs, in an effort to reduce unemployment.",<triplet> passed <subj> reduce <obj> intend
400,The government has also announced that it will be introducing new measures to reduce poverty and inequality.,<triplet> measures <subj> reduce <obj> enable
401,The World Trade Organization has adopted a new agreement to reduce tariffs and other barriers to trade.,<triplet> adopted <subj> reduce <obj> enable
402,The United Kingdom has launched a new initiative to help reduce greenhouse gas emissions and combat climate change.,<triplet> initiative <subj> reduce <obj> enable
403,The government passed a law to increase access to public transportation in an effort to reduce air pollution.,<triplet> passed <subj> increase <obj> intend
404,The bank also said its effort would continue past the Nov. 1 deadline set in that agreement and that the litigation between the two sides might resume as a result.,<triplet> continue <subj> resume <obj> cause
405,LIN Broadcasting surged 4 5/8 to 112 5/8; LIN and BellSouth sweetened their merger agreement in an attempt to keep shareholders from tendering their shares to McCaw Cellular Communications.,<triplet> sweetened <subj> tendering <obj> prevent
406,The government has implemented a series of laws to protect the environment from pollution.,<triplet> Laws <subj> Pollution <obj> prevent
407,The government has implemented a series of measures to prevent the exploitation of vulnerable populations.,<triplet> measures <subj> exploitation <obj> prevent
408,"The message to the chief of staff was meant to be taken as a suggestionthat Sununu offer to resign, one highly placed source said. ",<triplet> message <subj> taken <obj> intend
409,"And when he and President Gorbachev spoke about thedecision in a talk lasting nearly an hour, the President tookpains to listen to what his counterpart had to say, althoughhe already had decided that the Soviet alternative to theallied deadline was unacceptable.   ",<triplet> spoke <subj> took <obj> cause
410,The United States has imposed sanctions on Russia in an effort to prevent the country from interfering in other countries' elections.,<triplet> Sanctions <subj> Interfering <obj> prevent
411,And the U.S. now will face sharper questionsin the Arab world since it did n't  back  the peace proposalsworked out in Moscow.,<triplet> back <subj> face <obj> cause
412,The government passed a law to protect the rights of LGBTQ+ individuals and ensure their access to services.,<triplet> passed <subj> ensure <obj> intend
413,The company's lawyers told the court that Thales never paid bribes to Zuma in order to prevent any investigation into the arms sale.,<triplet> told <subj> investigation <obj> prevent
414,"Australia has largely been successful in curbing the spread of the virus, in part through strict border controls that limit flights from overseas and require most travellers to isolate for 14 days on arrival.",<triplet> controls <subj> spread <obj> prevent
415,"The European Union has adopted a new policy to combat climate change, which includes a commitment to reduce greenhouse gas emissions by 40% by",<triplet> policy <subj> reduce <obj> enable
416,"He took Polly Peck, once a small fabric wholesaler, and used it at as a base to build a conglomerate that has been doubling its profits annually since 1980. ",<triplet> build <subj> doubling <obj> cause
417,"The government passed a law to increase the minimum wage, in an effort to reduce poverty.",<triplet> passed <subj> reduce <obj> intend
418,"The government has implemented a series of measures to prevent the spread of corruption, including increased monitoring of public officials and increased penalties for those who engage in corrupt activities.",<triplet> Monitoring <subj> Corruption <obj> prevent
419,The government has also announced that it will be introducing new regulations to ensure the safety and security of the financial system.,<triplet> regulations <subj> safety <obj> enable
420,"Ukraine, which applied to join the US-led alliance in 2008, is pressing Western powers for more support as it seeks to deter any new aggression from Moscow.",<triplet> support <subj> aggression <obj> prevent
421,"The government has passed a law to protect the rights of consumers, in an effort to ensure safe and fair access to goods and services.",<triplet> passed <subj> ensure <obj> intend
422,"The government passed a law to protect the rights of workers, in an effort to ensure fair wages and working conditions.",<triplet> passed <subj> ensure <obj> intend
423,The government passed a law to protect the rights of immigrants and refugees in an effort to promote social justice.,<triplet> passed <subj> promote <obj> intend
424,The United Nations has adopted a resolution to promote gender equality and empower women and girls around the world.,<triplet> resolution <subj> promote <obj> enable
425,"The government has implemented a series of measures to prevent the exploitation of workers, including increased monitoring of labor practices and increased penalties for employers who violate labor laws.",<triplet> Monitoring <subj> Exploitation <obj> prevent
426,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent the country from destabilizing the region.,<triplet> embargo <subj> destabilizing <obj> prevent
427,The United Nations has declared a new resolution to end the conflict in the Middle East.,<triplet> resolution <subj> end <obj> enable
428,The United Nations has imposed economic sanctions on a country in an effort to prevent it from supporting terrorist activities.,<triplet> sanctions <subj> terrorist <obj> prevent
429,"Dataproducts Inc. said it filed a lawsuit in Delaware Chancery Court to block a tender offer by DPC Acquisition Partners, alleging that the hostile offer violates a standstill agreement between the two concerns.    ",<triplet> filed <subj> block <obj> cause
430,The arctic blast that began last weekend has been blamed for at least seven deaths across the nation.,<triplet> began <subj> blamed <obj> cause
431,The government has implemented a series of measures to prevent the spread of cybercrime.,<triplet> measures <subj> cybercrime <obj> prevent
432,"Milan are set to secure his replacement, so the Lille goalkeeper Mike Maignan underwent a medical with the 'Rossoneri' on Tuesday ahead of a move from the newly-crowned French champions.",<triplet> Milan <subj> medical <obj> enable
433,The government has also announced a new policy that will provide tax incentives for businesses to invest in research and development.,<triplet> tax incentives <subj> invest <obj> enable
434,The African Union has adopted a new strategy to promote regional integration and economic development.,<triplet> adopted <subj> promote <obj> enable
435,"The firm provides equity research, sales and trading, private and public capital raising as well as M&A services to help in the growth of companies and their investors.",<triplet> services <subj> growth <obj> enable
436,The United Nations has also adopted a resolution to promote the protection of the environment and combat climate change.,<triplet> resolution <subj> promote <obj> enable
437,The International Monetary Fund has passed a resolution to increase the amount of foreign aid it provides to developing countries.,<triplet> resolution <subj> increase <obj> enable
438,"The Canadian government has announced a new program to help low-income families with the cost of childcare, providing up to $1000 per year in assistance for those who qualify.",<triplet> program <subj> help <obj> enable
439,"The government has passed a law to protect the rights of immigrants, in an effort to promote diversity and inclusion.",<triplet> passed <subj> promote <obj> intend
440,The government has implemented a series of laws to protect the public from the abuse of power by public officials.,<triplet> Laws <subj> Abuse <obj> prevent
441,The government has passed legislation to prevent companies from exploiting workers by paying them below minimum wage.,<triplet> legislation <subj> exploiting <obj> prevent
442,"The United Nations passed a resolution calling for an end to the use of chemical weapons, in an effort to protect civilians from the dangers of chemical warfare.",<triplet> end <subj> protect <obj> intend
443,"The government has passed a new law to increase the availability of affordable housing, in an effort to reduce homelessness.",<triplet> passed <subj> reduce <obj> intend
444,The government has implemented a series of regulations to prevent companies from engaging in unethical labor practices.,<triplet> Regulations <subj> Unethical <obj> prevent
445,The government passed a law to increase the availability of renewable energy sources in an effort to reduce air pollution.,<triplet> passed <subj> reduce <obj> intend
446,The United Nations Security Council has imposed an arms embargo on Libya in an effort to prevent further violence and instability.,<triplet> Arms embargo <subj> instability <obj> prevent
447,The United Nations has passed a resolution calling for an end to the conflict in Syria.,<triplet> resolution <subj> end <obj> enable
448,"Gregori Volokhine, of Meeschaert Financial Services, said investors are becoming convinced the Fed eventually will take steps to keep inflation under wraps.",<triplet> steps <subj> inflation <obj> prevent
449,"Nonetheless, concern about the chip may have been responsible for a decline of 87.5 cents in Intel's stock to $32 a share yesterday in over-the-counter trading, on volume of 3,609,800 shares, and partly responsible for a drop in Compaq's stock in New York Stock Exchange composite trading on Wednesday. ",<triplet> concern <subj> drop <obj> cause
450,The United States has imposed economic sanctions on Cuba in an effort to prevent the country from interfering in other countries' affairs.,<triplet> Economic sanctions <subj> Interfering <obj> prevent
451,"Columbia officials said they do n't know how quickly they will dispose of the thrift's junk bonds, because federal regulations, such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries, have n't yet been completed.    ",<triplet> completed <subj> know <obj> cause
452,The government has implemented a series of reforms to promote religious freedom and reduce religious intolerance.,<triplet> religious <subj> intolerance <obj> intend
453,"The government has implemented a series of measures to prevent the spread of hate speech, including laws against hate speech and the promotion of tolerance.",<triplet> laws <subj> hate speech <obj> prevent
454,The United Nations has imposed a travel ban on Myanmar in an effort to prevent the country from destabilizing the region.,<triplet> Travel ban <subj> Destabilizing <obj> prevent
455,"The offer was automatically triggered by the recent sale of Control Data's Imprimis disk-drive business to Seagate Technology Inc.    Mr. Perlman, who is also acting chief financial officer and the odds-on favorite to become the next chief executive, said the company is achieving ""modest positive cash flow from operations, and we expect that to continue into 1990.""    ",<triplet> sale <subj> triggered <obj> cause
456,"The government is introducing a new law to protect the rights of LGBTQ+ people, in an effort to ensure equal access to services and opportunities.",<triplet> introducing <subj> ensure <obj> intend
457,The government has also announced that it will be investing in renewable energy sources to reduce the country's reliance on fossil fuels.,<triplet> investing <subj> reduce <obj> enable
458,"The Prime Minister has defended his government's record, arguing that the deficit has been reduced significantly since he took office.",<triplet> took office <subj> reduced <obj> enable
459,"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ",<triplet> use <subj> establishing <obj> intend
460,The World Health Organization has launched a new campaign to combat the spread of infectious diseases.,<triplet> campaign <subj> combat <obj> enable
461,"The government passed a law to increase access to renewable energy, in an effort to reduce carbon emissions.",<triplet> passed <subj> reduce <obj> intend
462,"The government has implemented a series of measures to prevent the spread of misinformation, including increased fact-checking and increased regulation of online content.",<triplet> Fact-checking <subj> Misinformation <obj> prevent
463,"Nonetheless, concern about the chip may have been responsible for a decline of 87.5 cents in Intel's stock to $32 a share yesterday in over-the-counter trading, on volume of 3,609,800 shares, and partly responsible for a drop in Compaq's stock in New York Stock Exchange composite trading on Wednesday. ",<triplet> concern <subj> decline <obj> cause
464,"They exclude revisions made by other statistical organisations, which show that the number of deaths is much higher.",<triplet> They <subj> deaths <obj> prevent
465,The government passed a law to provide incentives for businesses to invest in renewable energy sources.,<triplet> passed <subj> invest <obj> intend
466,"Although the government said the economy grew an estimated 2.5% in the third quarter, in line with expectations, analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter.    ",<triplet> grew <subj> disappointments <obj> cause
467,"The government has taken steps to prevent the spread of terrorism, including introducing new laws to combat terrorism.",<triplet> steps <subj> terrorism <obj> prevent
